dir,spd
290,3
320,3
320,3
290,3
290,3
140,2
160,1
110,1
160,1
140,1
160,1
270,1
290,2
110,1
140,1
160,2
140,2
160,1
110,1
140,1
110,1
140,1
320,3
290,3
290,3
290,3
290,3
290,3
270,2
290,3
290,3
290,5
290,4
290,4
270,3
270,2
290,4
290,6
290,3
290,4
290,3
270,2
290,3
290,2
270,2
290,2
290,2
290,2
290,1
290,2
140,1
160,1
160,1
140,1
160,1
140,1
140,2
70,2
270,1
140,2
230,1
320,1
50,2
20,1
50,2
320,3
160,1
360,1
360,3
320,2
230,1
20,2
110,1
160,1
270,2
110,1
110,1
250,1
200,1
140,1
90,2
50,3
20,2
70,1
110,1
20,3
20,3
320,1
320,1
20,2
340,1
20,3
340,1
20,2
20,2
20,3
20,3
20,3
70,2
70,3
320,2
50,1
20,2
340,1
360,3
320,3
320,5
160,1
140,1
90,1
50,1
20,2
20,2
20,1
90,1
20,2
110,1
20,1
20,1
50,1
20,2
70,4
70,3
20,3
20,4
360,4
340,2
340,3
340,2
50,1
50,1
20,1
20,3
290,2
20,1
50,1
50,2
50,2
20,1
50,2
50,2
50,2
20,2
50,3
50,4
20,3
50,3
50,4
340,2
50,3
20,5
340,3
340,2
360,3
340,4
340,1
360,2
20,2
20,3
340,1
340,1
340,1
360,1
20,1
50,1
50,1
20,2
340,1
340,1
20,1
20,1
20,1
140,1
140,1
140,1
140,1
160,1
160,1
70,1
20,2
20,3
20,3
180,1
180,1
160,3
20,1
50,2
20,2
160,1
160,3
160,2
140,2
20,3
20,1
50,2
360,5
320,2
320,1
340,1
20,2
160,1
140,2
140,4
140,2
20,2
20,1
340,1
20,2
20,1
160,1
50,1
160,1
20,1
340,1
20,2
160,1
140,1
140,1
140,1
140,1
20,3
20,1
50,1
160,1
140,1
110,1
140,1
180,1
180,1
160,1
140,1
180,1
140,2
160,1
160,1
140,1
110,1
160,1
160,1
110,3
140,2
140,1
140,1
140,1
140,3
320,2
110,1
140,1
160,1
160,1
160,1
180,1
140,1
140,1
140,2
320,3
140,1
140,1
160,2
160,1
160,1
160,1
270,1
290,2
340,1
320,1
160,1
110,1
160,1
160,1
320,1
140,1
160,1
140,1
290,1
270,1
290,3
320,1
320,2
200,2
290,1
340,1
270,1
270,1
290,3
290,1
320,1
320,1
160,1
180,1
180,1
160,1
160,1
320,2
160,1
230,1
340,1
320,5
340,2
20,1
180,1
140,1
160,1
200,2
160,1
50,1
20,1
70,1
340,1
140,1
20,2
320,1
20,1
20,2
320,2
70,2
50,1
20,2
70,2
50,1
20,2
340,1
340,2
320,4
320,5
70,1
20,2
20,1
20,2
340,1
50,3
20,2
50,4
360,2
320,2
340,2
320,2
20,2
50,2
360,1
360,1
20,1
20,1
50,1
50,3
50,3
340,2
360,3
20,4
50,4
70,3
50,3
340,1
50,4
340,3
340,2
340,2
340,4
340,1
360,2
20,1
360,1
340,2
340,1
